Feat0;Feat1;Feat2;Feat3;Feat4;Feat5;Feat6;Feat7;Feat8;Feat9;Feat10;Feat11;Feat12;target
12.290;3.170;2.210;18.000;88;2.850;2.990;0.450;2.810;2.300;1.420;2.830;406;2
12.250;3.880;2.200;18.500;112;1.380;0.780;0.290;1.140;8.210;0.650;2.000;855;3
12.720;1.810;2.200;18.800;86;2.200;2.530;0.260;1.770;3.900;1.160;3.140;714;2
11.650;1.670;2.620;26.000;88;1.920;1.610;0.400;1.340;2.600;1.360;3.210;562;2
13.240;3.980;2.290;17.500;103;2.640;2.630;0.320;1.660;4.360;0.820;3.000;680;1
13.500;3.120;2.620;24.000;123;1.400;1.570;0.220;1.250;8.600;0.590;1.300;500;3
11.450;2.400;2.420;20.000;96;2.900;2.790;0.320;1.830;3.250;0.800;3.390;625;2
13.490;3.590;2.190;19.500;88;1.620;0.480;0.580;0.880;5.700;0.810;1.820;580;3
13.480;1.810;2.410;20.500;100;2.700;2.980;0.260;1.860;5.100;1.040;3.470;920;1
13.400;3.910;2.480;23.000;102;1.800;0.750;0.430;1.410;7.300;0.700;1.560;750;3
12.080;1.130;2.510;24.000;78;2.000;1.580;0.400;1.400;2.200;1.310;2.720;630;2
13.160;2.360;2.670;18.600;101;2.800;3.240;0.300;2.810;5.680;1.030;3.170;1185;1
12.080;1.390;2.500;22.500;84;2.560;2.290;0.430;1.040;2.900;0.930;3.190;385;2
13.230;3.300;2.280;18.500;98;1.800;0.830;0.610;1.870;10.520;0.560;1.510;675;3
13.070;1.500;2.100;15.500;98;2.400;2.640;0.280;1.370;3.700;1.180;2.690;1020;1
13.820;1.750;2.420;14.000;111;3.880;3.740;0.320;1.870;7.050;1.010;3.260;1190;1
13.520;3.170;2.720;23.500;97;1.550;0.520;0.500;0.550;4.350;0.890;2.060;520;3
14.130;4.100;2.740;24.500;96;2.050;0.760;0.560;1.350;9.200;0.610;1.600;560;3
13.880;5.040;2.230;20.000;80;0.980;0.340;0.400;0.680;4.900;0.580;1.330;415;3
13.320;3.240;2.380;21.500;92;1.930;0.760;0.450;1.250;8.420;0.550;1.620;650;3
12.600;1.340;1.900;18.500;88;1.450;1.360;0.290;1.350;2.450;1.040;2.770;562;2
12.000;0.920;2.000;19.000;86;2.420;2.260;0.300;1.430;2.500;1.380;3.120;278;2
13.490;1.660;2.240;24.000;87;1.880;1.840;0.270;1.030;3.740;0.980;2.780;472;2
13.160;3.570;2.150;21.000;102;1.500;0.550;0.430;1.300;4.000;0.600;1.680;830;3
12.370;1.070;2.100;18.500;88;3.520;3.750;0.240;1.950;4.500;1.040;2.770;660;2
13.410;3.840;2.120;18.800;90;2.450;2.680;0.270;1.480;4.280;0.910;3.000;1035;1
13.680;1.830;2.360;17.200;104;2.420;2.690;0.420;1.970;3.840;1.230;2.870;990;1
12.420;2.550;2.270;22.000;90;1.680;1.840;0.660;1.420;2.700;0.860;3.300;315;2
14.100;2.020;2.400;18.800;103;2.750;2.920;0.320;2.380;6.200;1.070;2.750;1060;1
13.050;2.050;3.220;25.000;124;2.630;2.680;0.470;1.920;3.580;1.130;3.200;830;1
13.770;1.900;2.680;17.100;115;3.000;2.790;0.390;1.680;6.300;1.130;2.930;1375;1
12.080;1.830;2.320;18.500;81;1.600;1.500;0.520;1.640;2.400;1.080;2.270;480;2
13.080;3.900;2.360;21.500;113;1.410;1.390;0.340;1.140;9.400;0.570;1.330;550;3
13.830;1.650;2.600;17.200;94;2.450;2.990;0.220;2.290;5.600;1.240;3.370;1265;1
14.380;1.870;2.380;12.000;102;3.300;3.640;0.290;2.960;7.500;1.200;3.000;1547;1
12.850;3.270;2.580;22.000;106;1.650;0.600;0.600;0.960;5.580;0.870;2.110;570;3
14.020;1.680;2.210;16.000;96;2.650;2.330;0.260;1.980;4.700;1.040;3.590;1035;1
14.370;1.950;2.500;16.800;113;3.850;3.490;0.240;2.180;7.800;0.860;3.450;1480;1
12.850;1.600;2.520;17.800;95;2.480;2.370;0.260;1.460;3.930;1.090;3.630;1015;1
12.880;2.990;2.400;20.000;104;1.300;1.220;0.240;0.830;5.400;0.740;1.420;530;3
13.450;3.700;2.600;23.000;111;1.700;0.920;0.430;1.460;10.680;0.850;1.560;695;3
13.050;1.650;2.550;18.000;98;2.450;2.430;0.290;1.440;4.250;1.120;2.510;1105;1
12.820;3.370;2.300;19.500;88;1.480;0.660;0.400;0.970;10.260;0.720;1.750;685;3
13.730;4.360;2.260;22.500;88;1.280;0.470;0.520;1.150;6.620;0.780;1.750;520;3
14.210;4.040;2.440;18.900;111;2.850;2.650;0.300;1.250;5.240;0.870;3.330;1080;1
12.520;2.430;2.170;21.000;88;2.550;2.270;0.260;1.220;2.000;0.900;2.780;325;2
12.510;1.240;2.250;17.500;85;2.000;0.580;0.600;1.250;5.450;0.750;1.510;650;3
13.880;1.890;2.590;15.000;101;3.250;3.560;0.170;1.700;5.430;0.880;3.560;1095;1
12.700;3.870;2.400;23.000;101;2.830;2.550;0.430;1.950;2.570;1.190;3.130;463;2
13.620;4.950;2.350;20.000;92;2.000;0.800;0.470;1.020;4.400;0.910;2.050;550;3
13.170;5.190;2.320;22.000;93;1.740;0.630;0.610;1.550;7.900;0.600;1.480;725;3
12.000;3.430;2.000;19.000;87;2.000;1.640;0.370;1.870;1.280;0.930;3.050;564;2
12.870;4.610;2.480;21.500;86;1.700;0.650;0.470;0.860;7.650;0.540;1.860;625;3
13.750;1.730;2.410;16.000;89;2.600;2.760;0.290;1.810;5.600;1.150;2.900;1320;1
11.790;2.130;2.780;28.500;92;2.130;2.240;0.580;1.760;3.000;0.970;2.440;466;2
13.710;1.860;2.360;16.600;101;2.610;2.880;0.270;1.690;3.800;1.110;4.000;1035;1
12.670;0.980;2.240;18.000;99;2.200;1.940;0.300;1.460;2.620;1.230;3.160;450;2
14.390;1.870;2.450;14.600;96;2.500;2.520;0.300;1.980;5.250;1.020;3.580;1290;1
12.250;1.730;2.120;19.000;80;1.650;2.030;0.370;1.630;3.400;1.000;3.170;510;2
11.760;2.680;2.920;20.000;103;1.750;2.030;0.600;1.050;3.800;1.230;2.500;607;2
12.600;2.460;2.200;18.500;94;1.620;0.660;0.630;0.940;7.100;0.730;1.580;695;3
12.810;2.310;2.400;24.000;98;1.150;1.090;0.270;0.830;5.700;0.660;1.360;560;3
12.510;1.730;1.980;20.500;85;2.200;1.920;0.320;1.480;2.940;1.040;3.570;672;2
13.510;1.800;2.650;19.000;110;2.350;2.530;0.290;1.540;4.200;1.100;2.870;1095;1
13.110;1.900;2.750;25.500;116;2.200;1.280;0.260;1.560;7.100;0.610;1.330;425;3
12.220;1.290;1.940;19.000;92;2.360;2.040;0.390;2.080;2.700;0.860;3.020;312;2
13.050;1.730;2.040;12.400;92;2.720;3.270;0.170;2.910;7.200;1.120;2.910;1150;1
13.400;4.600;2.860;25.000;112;1.980;0.960;0.270;1.110;8.500;0.670;1.920;630;3
12.860;1.350;2.320;18.000;122;1.510;1.250;0.210;0.940;4.100;0.760;1.290;630;3
12.040;4.300;2.380;22.000;80;2.100;1.750;0.420;1.350;2.600;0.790;2.570;580;2
13.240;2.590;2.870;21.000;118;2.800;2.690;0.390;1.820;4.320;1.040;2.930;735;1
14.200;1.760;2.450;15.200;112;3.270;3.390;0.340;1.970;6.750;1.050;2.850;1450;1
13.050;1.770;2.100;17.000;107;3.000;3.000;0.280;2.030;5.040;0.880;3.350;885;1
12.370;1.630;2.300;24.500;88;2.220;2.450;0.400;1.900;2.120;0.890;2.780;342;2
11.810;2.120;2.740;21.500;134;1.600;0.990;0.140;1.560;2.500;0.950;2.260;625;2
11.840;0.890;2.580;18.000;94;2.200;2.210;0.220;2.350;3.050;0.790;3.080;520;2
12.580;1.290;2.100;20.000;103;1.480;0.580;0.530;1.400;7.600;0.580;1.550;640;3
13.870;1.900;2.800;19.400;107;2.950;2.970;0.370;1.760;4.500;1.250;3.400;915;1
11.660;1.880;1.920;16.000;97;1.610;1.570;0.340;1.150;3.800;1.230;2.140;428;2
14.060;2.150;2.610;17.600;121;2.600;2.510;0.310;1.250;5.050;1.060;3.580;1295;1
14.380;3.590;2.280;16.000;102;3.250;3.170;0.270;2.190;4.900;1.040;3.440;1065;1
13.830;1.570;2.620;20.000;115;2.950;3.400;0.400;1.720;6.600;1.130;2.570;1130;1
14.120;1.480;2.320;16.800;95;2.200;2.430;0.260;1.570;5.000;1.170;2.820;1280;1
14.340;1.680;2.700;25.000;98;2.800;1.310;0.530;2.700;13.000;0.570;1.960;660;3
13.860;1.510;2.670;25.000;86;2.950;2.860;0.210;1.870;3.380;1.360;3.160;410;2
12.770;3.430;1.980;16.000;80;1.630;1.250;0.430;0.830;3.400;0.700;2.120;372;2
12.530;5.510;2.640;25.000;96;1.790;0.600;0.630;1.100;5.000;0.820;1.690;515;3
13.270;4.280;2.260;20.000;120;1.590;0.690;0.430;1.350;10.200;0.590;1.560;835;3
11.960;1.090;2.300;21.000;101;3.380;2.140;0.130;1.650;3.210;0.990;3.130;886;2
